Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lp=0.25/50/sf,1.0174769862293072,0.9908679996250385,1.042802922416892,3.0854707332032008e-2,2.6734643708512862e-2,3.354339284557833e-2
lp=0.25/100/sfrp,2.635475778083086,2.602759568749832,2.653923263749391,3.152080325584618e-2,1.5592331166734086e-2,3.938583077430846e-2
lp=0.25/100/cfsf,1.6722347228750134,1.6361925267499373,1.6999214372501306,3.700305543750637e-2,1.6710963499917852e-2,5.058964992095394e-2
lp=0.25/100/preIO,1.6943909515833866,1.6861183548749068,1.7069154867500629,1.2200861283411147e-2,4.987886250091833e-3,1.6009639581991347e-2
lp=0.25/100/sf,2.1445012302707673,2.042471550999835,2.1891770298541173,7.774987276102939e-2,2.761138112498429e-2,0.1031743396628353
lp=0.25/150/sfrp,4.123344422854056,4.088227567062461,4.147880809312312,3.442444980525838e-2,1.4590702039000356e-2,4.592108729464726e-2
lp=0.25/150/cfsf,2.5549814563331097,2.528167371874872,2.573537626708003,2.726288261938627e-2,1.3828802499915582e-2,3.503896136764793e-2
lp=0.25/150/preIO,2.701429319770606,2.6864900119582367,2.719978781061968,1.9126994065196197e-2,7.6786196432508495e-3,2.6344890865772894e-2
lp=0.25/150/sf,3.922412598166583,3.909320804749882,3.9361443628750408,1.684264139169661e-2,7.2415974999557875e-3,2.1872325281304568e-2
lp=0.25/200/sfrp,1.001156912250129,0.9648338598752465,1.0280739933750738,3.9290238770727515e-2,8.51227541092623e-3,4.854719049367442e-2
lp=0.25/200/cfsf,0.4602208647499613,0.4379536219997438,0.4870718337500648,2.773056737761861e-2,1.2439227499419463e-2,3.844848067356549e-2
lp=0.25/200/preIO,0.5525443672916216,0.5341968416249188,0.5660487133333543,1.8791995732754394e-2,9.686359249940324e-3,2.6055818225987033e-2
lp=0.25/200/sf,4.972936588437392,4.769117771124797,5.101342638562528,0.19799077568709064,7.557967950015154e-2,0.2614302223534112
lp=0.25/250/sfrp,6.375311801270868,6.350716229500222,6.415254046687323,3.871683493355115e-2,1.198888724829917e-2,5.1793606712525676e-2
lp=0.25/250/cfsf,4.2254400140208,4.189731171375001,4.261148856666599,4.755040129377763e-2,1.6402422791732985e-2,6.352615322766944e-2
