Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
loopD/50/sf-strict,0.2960480370007491,0.2902176316072516,0.300659621829271,6.927019748947771e-3,3.977270099355521e-3,1.0523052546920103e-2
loopD/50/sf,0.2460524827324907,0.24102682079985951,0.25044008372463505,6.333967385858757e-3,4.385785361552299e-3,8.898452902514203e-3
loopD/100/allIO,1.1279407815935703,1.114081170834106,1.14467081003997,1.707281167066526e-2,3.3791525287687335e-3,2.5891074678459396e-2
loopD/100/preIO,0.40065619024975285,0.392133943081767,0.4065462494923036,9.755059424934518e-3,4.819881776004188e-3,1.3155520198723061e-2
loopD/100/sf-strict,0.589709897272472,0.5845141810379053,0.5983244457282646,7.7497241555433225e-3,3.6909484628129593e-3,1.1220068750305368e-2
loopD/100/sf,0.4606990511881571,0.45532801181194116,0.470700258025737,8.748899194127763e-3,4.4605413718444495e-3,1.3479766842629415e-2
loopD/150/allIO,1.650356082062899,1.6247937375624133,1.6926061045005554,4.1606285393606016e-2,1.2407924896251643e-4,5.220198440816268e-2
loopD/150/preIO,0.5820738328660351,0.5774151342830505,0.5907341240206883,7.015650553248301e-3,2.7405283314144175e-3,1.053135082805766e-2
loopD/150/sf-strict,0.8537809366918636,0.8387272140669665,0.8625539512749735,1.26303792554966e-2,2.9578801947899615e-3,1.9074157946744604e-2
loopD/150/sf,0.6585204360213192,0.6361987806816788,0.7116941340286368,3.536078357438046e-2,4.7074394569378945e-3,5.407315158029019e-2
loopD/200/allIO,2.2197830569368002,2.1950120131238386,2.244893955061798,2.774877672392311e-2,2.329311874746054e-3,2.994796646495399e-2
loopD/200/preIO,0.7606419721412648,0.7448674632214534,0.7718032014969646,1.3357985050752336e-2,4.683184080621339e-3,1.64225668563918e-2
loopD/200/sf-strict,1.134244747273454,1.1230233289342626,1.144887912080012,1.0823238047756267e-2,4.958131461231775e-3,1.4206381411840748e-2
loopD/200/sf,0.8609879545365099,0.8528958450752119,0.8664102460840392,7.461683977480243e-3,2.4171297545594918e-3,1.0240177865815117e-2
loopD/250/allIO,2.7405814184586084,2.696989062999819,2.7831996373756738,4.57636774935749e-2,7.852712195298879e-3,5.173687637171672e-2
loopD/250/preIO,0.9441287442056011,0.9390440070665136,0.947914968816652,5.199476660647527e-3,2.8342228694625223e-3,7.382720931859823e-3
loopD/250/sf-strict,1.4583105380832724,1.4449566947491803,1.479093089333522,1.5918601156767243e-2,2.0142985003985814e-3,2.0290134493149592e-2
loopD/250/sf,1.04641307689697,1.0324217031903025,1.063858163067198,1.5858176570747763e-2,6.938720776912998e-3,2.3407558816837037e-2
loopD/300/allIO,3.2532736710415975,3.225213982666901,3.2731877708749835,2.2095912920428964e-2,6.0050252500332135e-3,2.9431181008281185e-2
loopD/300/preIO,1.1095802269430108,1.0867202029313678,1.1241001850833832,1.8381780962052036e-2,2.27013106441289e-3,2.802393504775178e-2
loopD/300/sf-strict,1.7090133023118597,1.7050209939989145,1.714266407998366,4.332399423939016e-3,4.572001257656666e-4,5.337842261352891e-3
loopD/300/sf,1.288213099917084,1.2441244868008652,1.3201137105168528,4.0250652887187294e-2,1.0396231055980545e-2,4.643393293041995e-2
loopM/50/allIO,0.2150530926114453,0.21182347351583927,0.21816216211585568,4.773344665476743e-3,3.054614626861874e-3,6.42932148033852e-3
loopM/50/preIO,0.19551622140840494,0.19311236505158838,0.19981824034920173,4.287869426898358e-3,2.331597009494238e-3,6.394020193915199e-3
loopM/50/sf-strict,0.16995791541237423,0.16648465171390472,0.17679781348365392,7.852666174446112e-3,2.321012358897475e-3,1.1585529993739132e-2
